round,clue_value,daily_double_value,category_group,category,comments,answer,question,air_date
1,800,0,"History, Culture, Geography, Politics",HISTORY COMES ALIVE WITH ERIK LARSON,"(Erik: I'm Erik Larson, with clues about some of the books in which I've tried to make history come alive.)","(Erik Larson presents the clue.) My book ""Thunderstruck"" examines how in 1910, Dr. Hawley Crippen nearly committed the perfect murder & fled across the Atlantic, only to be captured later that year with the help of this man's invention of wireless telegraphy",Marconi,2023-01-02
1,1000,0,"History, Culture, Geography, Politics",HISTORY COMES ALIVE WITH ERIK LARSON,"(Erik: I'm Erik Larson, with clues about some of the books in which I've tried to make history come alive.)","(Erik Larson presents the clue.) Do you know monsters when you see them? My book ""In the Garden of Beasts"" tells the story of Martha Dodd, daughter of the U.S. ambassador to Nazi Germany & her affair with the first head of this political police organization",the gestapo,2023-01-02
2,400,0,"History, Culture, Geography, Politics",FROM THE NEW TESTAMENT TO THE MAP,,"This Vatican basilica is one of the largest churches in the world with a capacity of 60,000",St. Peter's,2023-01-02
2,800,0,"History, Culture, Geography, Politics",FROM THE NEW TESTAMENT TO THE MAP,,"Both Oxford & Cambridge have colleges named for this biblical Mary; only Cambridge's has an ""E"" at the end",Magdalene,2023-01-02
2,1200,4000,"History, Culture, Geography, Politics",FROM THE NEW TESTAMENT TO THE MAP,,"Santo Stefano Church in Genoa, Italy is where, according to tradition, this sailor was baptized in 1451",Columbus,2023-01-02
2,1600,0,"History, Culture, Geography, Politics",FROM THE NEW TESTAMENT TO THE MAP,,"A central location in this Bavarian city of ""monks"" is Marienplatz, or ""Mary's Square\""",Munich,2023-01-02
2,2000,0,"History, Culture, Geography, Politics",FROM THE NEW TESTAMENT TO THE MAP,,"3 blocks long, the NYC St. called this Gospel man's Place has been home to Alexander Hamilton's widow, Leon Trotsky & Debbie Harry",St. Mark's,2023-01-02
2,400,0,"Language Arts, Literature, Phrases",WRITERS' MIDDLE NAMES,,Of fairy tale author Hans Andersen,Christian,2023-01-02
2,800,0,"Language Arts, Literature, Phrases",WRITERS' MIDDLE NAMES,,Of Nobel Prize winner William Yeats,Butler,2023-01-02
2,1200,0,"Language Arts, Literature, Phrases",WRITERS' MIDDLE NAMES,,"Of the author of 1841's ""Self-Reliance\""",Waldo,2023-01-02
2,1600,0,"Language Arts, Literature, Phrases",WRITERS' MIDDLE NAMES,,Of H.G. Wells; his first name was Herbert,George,2023-01-02
2,2000,0,"Language Arts, Literature, Phrases",WRITERS' MIDDLE NAMES,,Of C.S. Lewis; his first name was Clive,Staples,2023-01-02
2,400,0,"History, Culture, Geography, Politics",STATE GOVERNORS,,It was not an act—Ronald Reagan was a 2-term governor of this state,California,2023-01-02
2,800,0,"History, Culture, Geography, Politics",STATE GOVERNORS,,"Holland Taylor wrote & starred in ""Ann"" , a Tony-nominated play about this Texas governor",Ann Richards,2023-01-02
2,1200,0,"History, Culture, Geography, Politics",STATE GOVERNORS,,Pennsylvania Governor Tom Ridge went on to be the first head of this Cabinet department,Homeland Security,2023-01-02
2,1600,0,"History, Culture, Geography, Politics",STATE GOVERNORS,,"Elected in 2002, in 2009 he became the first Illinois governor to be impeached",Blagojevich,2023-01-02
2,2000,0,"History, Culture, Geography, Politics",STATE GOVERNORS,,This state's second-most populous county is named for Governor Napoleon Bonaparte Broward,Florida,2023-01-02
2,400,0,"Pop culture, Arts, Sports",THE CHASE,,"Classic chasers include sangrita, a drink historically made with pomegranate juice & traditionally served with this liquor",tequila,2023-01-02
2,800,0,"Pop culture, Arts, Sports",THE CHASE,,This activity that takes your dog around in a circle can be a sign of boredom & lack of exercise,chasing his tail,2023-01-02
2,1600,0,"Pop culture, Arts, Sports",THE CHASE,,"The 5 Oscars for this 1971 Gene Hackman movie include best editing, maybe due to its NYC train & car chase",The French Connection,2023-01-02
2,2000,0,"History, Culture, Geography, Politics",THE CHASE,,"In 1862's Great Locomotive Chase, Union soldiers tried to make it from central Georgia to this Tennessee city they hoped to capture",Chattanooga,2023-01-02
2,400,0,"Pop culture, Arts, Sports",SACRIFICIAL ROLES,,Harrison Ford said this hero's sacrifice for the other characters would lend emotional weight to a 2015 film,Han Solo,2023-01-02
2,800,0,"Pop culture, Arts, Sports",SACRIFICIAL ROLES,,"In ""Endgame"" this Avenger makes a heroic sacrifice & takes a terrible fall in order to obtain the Soul Stone",Black Widow,2023-01-02
2,1200,0,"Pop culture, Arts, Sports",SACRIFICIAL ROLES,,"In the TV episode ""Bullets Over Bel-Air"", Will took a bullet for this cousin; & Philly was supposed to be too dangerous...!",Carlton,2023-01-02
2,1600,0,"Pop culture, Arts, Sports",SACRIFICIAL ROLES,,"Trying to spare Regan from evil in this 1973 thriller, Jason Miller as Father Karras screams ""Take me"" & is taken",The Exorcist,2023-01-02
2,2000,0,"Pop culture, Arts, Sports",SACRIFICIAL ROLES,,"In ""Game of Thrones"" he really was a gentle giant, saving Bran by holding the door & fending off a horde of nasties",Hodor,2023-01-02
2,400,0,"Pop culture, Arts, Sports",FRIENDS 'TIL THE ENDS,,"It's paired with ""Axis"" in the name of a digital Hasbro game set in 1942",Allies,2023-01-02
2,800,0,"Pop culture, Arts, Sports",FRIENDS 'TIL THE ENDS,,"As the song says, ""Life is a cabaret, old"" this synonym for friend",chum,2023-01-02
2,1200,0,"Pop culture, Arts, Sports",FRIENDS 'TIL THE ENDS,,"French for ""good friend"", this 2-word phrase can refer to a buddy or to a girlfriend",bon ami(e),2023-01-02
2,1600,0,"Pop culture, Arts, Sports",FRIENDS 'TIL THE ENDS,,"This type of friend comes after ""Food Lover's"" & ""Pokemon Visual"", 2 books that offer guidance",Companion,2023-01-02
2,2000,1300,"Language Arts, Literature, Phrases",FRIENDS 'TIL THE ENDS,,"\""C"" is for this word, once one of the divisions of a Roman legion; it now can mean a colleague or a person born in the same year",a cohort,2023-01-02
3,0,0,"History, Culture, Geography, Politics",HISTORIC CRIMES,,"Saying it was stolen by Napoleon, self-styled Italian patriot Vincenzo Peruggia took it in 1911",the Mona Lisa,2023-01-02
1,200,0,"Language Arts, Literature, Phrases",FICTION'S FICTIONAL PLACES,,"Now a term for any dreamy society, this Thomas More land from a 1516 work was Communist & populated by pagans",Utopia,2023-01-03
1,600,0,"Language Arts, Literature, Phrases",FICTION'S FICTIONAL PLACES,,"\""The Hunger Games"" says this country ""rose up out of the ashes of a place that was once called North America\""",Panem,2023-01-03
1,800,0,"Language Arts, Literature, Phrases",FICTION'S FICTIONAL PLACES,,This shipwrecked character ends up on the island of Despair in 1659,Robinson Crusoe,2023-01-03
1,1000,0,"Language Arts, Literature, Phrases",FICTION'S FICTIONAL PLACES,,Macondo is a town that's originally isolated from the outside world in this 1967 Gabriel García Márquez classic,One Hundred Years of Solitude,2023-01-03
1,200,0,"Pop culture, Arts, Sports",AMERICAN ART & ARTISTS,,"Here's this silversmith, a teapot in hand, in a portrait by John Singleton Copley",Paul Revere,2023-01-03
1,400,0,"Pop culture, Arts, Sports",AMERICAN ART & ARTISTS,,"In 1929 she painted ""The Lawrence Tree"", which she enjoyed gazing upon at D.H. Lawrence's New Mexico ranch",Georgia O'Keeffe,2023-01-03
1,600,0,"Pop culture, Arts, Sports",AMERICAN ART & ARTISTS,,"One of Albert Pinkham Ryder's best known works is the macabre-toned painting ""The Race Track"", or this ""On a Pale Horse\""",Death,2023-01-03
1,800,0,"Pop culture, Arts, Sports",AMERICAN ART & ARTISTS,,"In the 1930s this Iowa native designed a mural called ""Breaking the Prairie Sod"" for Iowa State University",(Grant) Wood,2023-01-03
1,1000,0,"Pop culture, Arts, Sports",AMERICAN ART & ARTISTS,,"Roy Lichtenstein's comic book style paintings include ""Blam"" & this! of 2 planes in combat, a title reminiscent of a pop music duo",Whaam!,2023-01-03
1,200,0,"Pop culture, Arts, Sports",ORGS. FOR SHORT,,"In a 1978 hit ""It's fun to stay at"" this place",the YMCA,2023-01-03
1,400,0,Miscellaneous,ORGS. FOR SHORT,,Fight intoxicated driving by calling 877-ASK-THIS,MADD,2023-01-03
1,600,0,Miscellaneous,ORGS. FOR SHORT,,"A college conference, or an agency that protects investors",the SEC,2023-01-03
1,800,0,"History, Culture, Geography, Politics",ORGS. FOR SHORT,,"It owns & operates Washington, D.C.'s Constitution Hall, opened in 1929",the DAR (Daughters of the American Revolution),2023-01-03
1,1000,0,"History, Culture, Geography, Politics",ORGS. FOR SHORT,,President Biden did not like its autumn 2022 production cuts,OPEC,2023-01-03
1,200,0,"Pop culture, Arts, Sports",ROMANTIC MOVIE LINES,,"This classic film gave us the line ""Here's looking at you, kid\""",Casablanca,2023-01-03
1,400,0,"Pop culture, Arts, Sports",ROMANTIC MOVIE LINES,,"In this film Renee Zellweger tells Tom Cruise, ""You had me at hello\""",Jerry Maguire,2023-01-03
1,600,0,"Pop culture, Arts, Sports",ROMANTIC MOVIE LINES,,"In ""The Princess Bride"", Westley says this phrase to Buttercup over & over, which she finally realizes means ""I love you\""",As you wish,2023-01-03
1,800,0,"Pop culture, Arts, Sports",ROMANTIC MOVIE LINES,,"\""I wish I knew how to quit you"" is a line from this 21st century film",Brokeback Mountain,2023-01-03
1,1000,0,"Pop culture, Arts, Sports",ROMANTIC MOVIE LINES,,"In ""Moonstruck"", after Nicolas Cage says, ""I'm in love with you"", Cher slaps him twice & says these 4 words",Snap out of it,2023-01-03
1,200,0,"Math, Science, Health","HERE'S LOOKING AT ""U\""",,"Yellowcake, a compound of this element, is the raw stuff for commercial nuclear materials",uranium,2023-01-03
1,800,0,"History, Culture, Geography, Politics","HERE'S LOOKING AT ""U\""",,Here are ancestors of this tribe that let Salt Lake City college athletes use its name to build respect for its history & culture,the Utes,2023-01-03
1,1000,0,"History, Culture, Geography, Politics","HERE'S LOOKING AT ""U\""",,"The first Italian king of this name formed the Triple Alliance with Austria, Hungary & Germany in the late 19th century",Umberto,2023-01-03
1,200,0,"Pop culture, Arts, Sports",KID CUISINE,,"The 16th, 2nd & 10th letters of the alphabet make up this favorite sandwich",PB&J,2023-01-03
1,400,0,"Pop culture, Arts, Sports",KID CUISINE,,"If your kids aren't from New England, they may enjoy this two-word dish made with a veggie, more than its clam or fish cousin",corn chowder,2023-01-03
1,600,0,"Pop culture, Arts, Sports",KID CUISINE,,"Being a favorite of Eleven on ""Stranger Things"" boosted sales of this Kellogg's non-cereal brand",Eggos,2023-01-03
1,800,5,"Pop culture, Arts, Sports",KID CUISINE,,"History professor Paul Josephson's definitive article on these breaded items is titled ""The Ocean's Hot Dog\""",fish sticks,2023-01-03
1,1000,0,"Pop culture, Arts, Sports",KID CUISINE,,San Diego's El Indio restaurant claims Ralph Pesqueira created these diminutive items by adapting flautas,the taquito,2023-01-03
2,400,0,"History, Culture, Geography, Politics","THE GOOD, OLD, U.S. OF A.",,"From c. 1640 & built using dovetailing, the USA's oldest of these 2-word symbols of hardy pioneer life is in western New Jersey",a log cabin,2023-01-03
2,800,0,"History, Culture, Geography, Politics","THE GOOD, OLD, U.S. OF A.",,"A mound-building culture 1,000 years ago left monuments like the Marching these carnivores; you can see it from above in Iowa",bears,2023-01-03
2,1200,0,"History, Culture, Geography, Politics","THE GOOD, OLD, U.S. OF A.",,"This sizable city a bit south of Seattle has re-created Fort Nisqually, the first British outpost on Puget Sound",Tacoma,2023-01-03
2,1600,0,"History, Culture, Geography, Politics","THE GOOD, OLD, U.S. OF A.",,"As well as a building material, it's a structure made of it; the Avila one is the oldest existing house in Los Angeles",adobe,2023-01-03
2,2000,0,"History, Culture, Geography, Politics","THE GOOD, OLD, U.S. OF A.",,"Have an electrifying visit to this, ""New York's Birthplace Park"" at the southern tip of Manhattan",the Battery,2023-01-03
2,400,0,"Math, Science, Health",SCIENCE NEWS,,"It was the ""A"" in NASA's DART, which hit the bullseye on one in 2022—maybe saving us from planetary doom one day",asteroid,2023-01-03
2,800,0,"Math, Science, Health",SCIENCE NEWS,,"Following a bone marrow transplant, in 2019 a patient was declared free of this virus, for only the second time ever",the AIDS virus (HIV),2023-01-03
2,1200,0,"Math, Science, Health",SCIENCE NEWS,,Gene-edited versions of the embryonic type of these cells have helped geckos regrow their tails more perfectly,stem cells,2023-01-03
2,1600,0,"Math, Science, Health",SCIENCE NEWS,,"In 2019 the IAU announced the discovery of 20 new moons of this planet, putting it 3 ahead of Jupiter's total",Saturn,2023-01-03
2,2000,0,"Math, Science, Health",SCIENCE NEWS,,An Australian study found that forests of these trees that grow around swamps & coastlines expand & contract with a 19-year lunar cycle,mangroves,2023-01-03
2,400,0,"Pop culture, Arts, Sports",POP MUSIC-POURRI,,"\""Don't Get Above Your Raisin""' is a song from Flatt & Scruggs; it's also the name of an episode of this Ken Burns series",Country Music,2023-01-03
2,800,0,"Pop culture, Arts, Sports",POP MUSIC-POURRI,,"Her song ""You've Got A Friend"" came out the year after her pal James Taylor sang of ""lonely times when I could not find a friend\""",Carole King,2023-01-03
2,1200,0,"Pop culture, Arts, Sports",POP MUSIC-POURRI,,"Alejandro Fernández' 2009 release ""Dos Mundos"", meaning this, held not one, not 2, but 3 spots on the Billboard Latin Album charts",two worlds,2023-01-03
2,1600,0,"Pop culture, Arts, Sports",POP MUSIC-POURRI,,"To tweak an '80s lyric from this band, lovin' would be easy if your colors were those on Ghana's flag, red, gold & green",Culture Club,2023-01-03
2,2000,0,"Pop culture, Arts, Sports",POP MUSIC-POURRI,,"Watching his bride out on the floor at his wedding, polio survivor Doc Pomus got the idea for ""Save"" this ""For Me\""",the Last Dance,2023-01-03
2,400,0,"History, Culture, Geography, Politics",L'HISTOIRE DE FRANCE,,"Cheers to Henry IV, who became France's first king from this ruling house in 1589",Bourbon,2023-01-03
2,800,0,"History, Culture, Geography, Politics",L'HISTOIRE DE FRANCE,,"1804 to 1815 is known as the Empire Period; in the decorative arts it featured swans, a symbol of this empress",Josephine,2023-01-03
2,1200,0,"History, Culture, Geography, Politics",L'HISTOIRE DE FRANCE,,"Named for a war minister, this 1930s ""Line"" of forts & small concrete bunkers, built to stop the Germans, didn't",the Maginot Line,2023-01-03
2,1600,3095,"History, Culture, Geography, Politics",L'HISTOIRE DE FRANCE,,"After WWI, Germany lost this hyphenated border region to France, got it back in WWII, then lost it to France again",Alsace-Lorraine,2023-01-03
2,2000,0,"History, Culture, Geography, Politics",L'HISTOIRE DE FRANCE,,"The first examples of art by prehistoric people are Cro-Magnon, like at this French cave discovered by 4 teens in 1940",Lascaux,2023-01-03
2,400,0,"History, Culture, Geography, Politics",FUN WITH 21,,"Played since the early 1700s, the French card game vingt-et-un lives on as this casino game",blackjack,2023-01-03
2,800,0,"History, Culture, Geography, Politics",FUN WITH 21,,"Utah ratified the 21st Amendment, ending this on Dec. 5, 1933 around 3:30 PM local time, letting New Yorkers celebrate at dinner",Prohibition,2023-01-03
2,1200,0,"History, Culture, Geography, Politics",FUN WITH 21,,"The U.S. 21-gun salute is fired to honor our president, a visiting head of state or this symbol of our nation",the flag,2023-01-03
2,1600,0,"History, Culture, Geography, Politics",FUN WITH 21,,"Mozart's Piano Concerto No. 21 inspired this 1972 Neil Diamond song with ""Song"" in the title","\""Song Sung Blue\""",2023-01-03
2,2000,0,"History, Culture, Geography, Politics",FUN WITH 21,,"In the 19th century this former gold coin of Britain was worth 21 shillings, one more than in a pound",a guinea,2023-01-03
2,400,0,"Language Arts, Literature, Phrases",SAME FIRST & LAST LETTER,,A water pipe with a bowl & a flexible tube used for smoking,a hookah,2023-01-03
2,800,0,"Language Arts, Literature, Phrases",SAME FIRST & LAST LETTER,,"An area of land, or a pamphlet",a tract,2023-01-03
2,1200,0,"Language Arts, Literature, Phrases",SAME FIRST & LAST LETTER,,Ridged steel rod used to strengthen concrete,rebar,2023-01-03
2,1600,0,"Language Arts, Literature, Phrases",SAME FIRST & LAST LETTER,,"A gathering spot, like an ancient Greek marketplace",agora,2023-01-03
2,2000,3000,"Language Arts, Literature, Phrases",SAME FIRST & LAST LETTER,,"A type of tax, or to remove material, such as from a book or film",excise,2023-01-03
3,0,0,"Language Arts, Literature, Phrases",FOREIGN-BORN AUTHORS,,"Early in her career she translated romance novels into Spanish, often changing the dialogue to make the heroines smarter",(Isabel) Allende,2023-01-03
1,200,0,"History, Culture, Geography, Politics",ON YOUR STATE'S LEFT,,"If you're near the border in Terre Haute, Indiana & want to go west, young man, you head directly into this state",Illinois,2023-01-04
1,400,0,"History, Culture, Geography, Politics",ON YOUR STATE'S LEFT,,The Maine way to the left is into this state; head to the right & you've left the country,New Hampshire,2023-01-04
1,600,0,"History, Culture, Geography, Politics",ON YOUR STATE'S LEFT,,"Geographically, this state borders Alabama on the left, but both look up to Tennessee",Mississippi,2023-01-04
1,800,0,"History, Culture, Geography, Politics",ON YOUR STATE'S LEFT,,"It's to the left for a majority of Wisconsin, as it stands atop Iowa",Minnesota,2023-01-04
1,1000,0,"History, Culture, Geography, Politics",ON YOUR STATE'S LEFT,,"It's the leftward neighbor of North Dakota, & there's plenty of room left for you if you'd like to move there",Montana,2023-01-04
1,200,0,"Pop culture, Arts, Sports","BUY, & LARGE",,"This company has lived up to its name with purchases of FleetBoston, Merrill Lynch & U.S. Trust Corporation",Bank of America,2023-01-04
1,400,0,"Pop culture, Arts, Sports","BUY, & LARGE",,This ketchup brand was able to catch up with $23 billion when it was acquired by Berkshire Hathaway in 2013,Heinz,2023-01-04
1,600,0,"Pop culture, Arts, Sports","BUY, & LARGE",,"In 2014 $130 billion changed hands as Vodafone was bought out of this other ""V"" company's wireless biz",Verizon,2023-01-04
1,800,0,"Pop culture, Arts, Sports","BUY, & LARGE",,In 2022 this software giant said it was making a macropayment of $68.7 billion to purchase Activision/Blizzard,Microsoft,2023-01-04
1,1000,0,"Pop culture, Arts, Sports","BUY, & LARGE",,In 2022 this mega-grocer of Ohio was set to merge with another giant among supermarkets: Albertsons,Kroger's,2023-01-04
1,200,0,"Pop culture, Arts, Sports",SURNAMES,,This name meaning a grinder of grain is among the USA's 10 most popular surnames,Miller,2023-01-04
1,400,0,"Pop culture, Arts, Sports",SURNAMES,,"Of surnames that are colors, this one is the most prevalent in the United States",Brown,2023-01-04
1,600,0,"Pop culture, Arts, Sports",SURNAMES,,"Of Indian descent, golfer Vijay has this last name derived from the Sanskrit word for ""lion\""",Singh,2023-01-04
1,800,0,"Pop culture, Arts, Sports",SURNAMES,,"Meaning ""mower of grass or hay"", it was the last name of puritan ministers Increase & Cotton",Mather,2023-01-04
1,1000,2400,"Pop culture, Arts, Sports",SURNAMES,,This 7-letter German surname is the equivalent of blacksmith or metalworker,Schmidt,2023-01-04
1,200,0,"Pop culture, Arts, Sports",THE ACTORS IN THAT MOVIE,,"2018: Hey, Emily Blunt & John Krasinski! Keep it down!",A Quiet Place,2023-01-04
1,400,0,"Pop culture, Arts, Sports",THE ACTORS IN THAT MOVIE,,"1993: Bill Murray, Andie MacDowell & a cameo by Scooter as the creature mentioned in the title",Groundhog Day,2023-01-04
1,600,0,"Pop culture, Arts, Sports",THE ACTORS IN THAT MOVIE,,"1997: Travolta / Cage, as only Travolta / Cage could do it",Face/Off,2023-01-04
1,800,0,"Pop culture, Arts, Sports",THE ACTORS IN THAT MOVIE,,2019: Driver vs. Johansson,A Marriage Story,2023-01-04
1,1000,0,"Pop culture, Arts, Sports",THE ACTORS IN THAT MOVIE,,"2008: Colin Farrell & Brendan Gleeson visit Belgium, & reunite in 2022 for ""The Banshees of Inisherin\""",In Bruges,2023-01-04
1,200,0,"Language Arts, Literature, Phrases","START ""OFF\""",,It means very much not taking the beaten path,off-road,2023-01-04
1,400,0,"Language Arts, Literature, Phrases","START ""OFF\""",,This 7-letter word for a type of extemporaneous remark ends with a body part,offhand,2023-01-04
1,600,0,"Language Arts, Literature, Phrases","START ""OFF\""",,This avant-garde double-talk New York theater movement is 2 steps away from the mainstream,Off-Off-Broadway,2023-01-04
1,800,0,"Language Arts, Literature, Phrases","START ""OFF\""",,Who knows that this is the job of someone conducting a wedding? I do!,officiant,2023-01-04
1,1000,0,"Language Arts, Literature, Phrases","START ""OFF\""",,"What we somewhat euphemistically call variety meats, the British call this unpleasant-sounding word",offal,2023-01-04
1,200,0,"Language Arts, Literature, Phrases",WRITE FOOT,,"Beginning readers may learn about trick feet & sick feet in ""The Foot Book"" by this author whose real name was Theodor Geisel",Dr. Seuss,2023-01-04
1,400,0,"Language Arts, Literature, Phrases",WRITE FOOT,,"In this Grimm tale, one sister cuts off a toe to fit into a golden shoe; the other, part of her heel; the title girl, a perfect fit!",Cinderella,2023-01-04
1,600,0,"Language Arts, Literature, Phrases",WRITE FOOT,,"After landing in Oz, Dorothy is dismayed to see this woman's lifeless feet ""shod in silver shoes with pointed toes\""",the Wicked Witch of the East,2023-01-04
1,800,0,"Language Arts, Literature, Phrases",WRITE FOOT,,"In Fulgentius' ""Mythologies"", the goddess Thetis douses this babe in the River Styx, ""his heel alone she did not dip\""",Achilles,2023-01-04
1,1000,0,"Language Arts, Literature, Phrases",WRITE FOOT,,"Artist Christy Brown wrote in this autobiography that he was ""living in chains"" battling cerebral palsy",My Left Foot,2023-01-04
2,400,0,"History, Culture, Geography, Politics",TRANSPORTATION,,"Forward of the propeller on a submarine, these flat, hinged vertical plates are used to steer the vessel",rudders,2023-01-04
2,800,0,"History, Culture, Geography, Politics",TRANSPORTATION,,This company's 707 flew in commercial service from 1958 to the 2010s & the Air Force still flies planes based on its design,Boeing,2023-01-04
2,1200,0,"History, Culture, Geography, Politics",TRANSPORTATION,,"100 years ago in 1923, Warren Harding drove a spike to complete the railroad named for this state, today with majestic bridges",Alaska,2023-01-04
2,1600,0,"History, Culture, Geography, Politics",TRANSPORTATION,,"Coach USA's bus service from O'Hare to Mitchell Airport in this city is 70 miles straight up I-94, but it's still called a shuttle",Milwaukee,2023-01-04
2,2000,0,"History, Culture, Geography, Politics",TRANSPORTATION,,"The 1912 Classic Six was the first production car to bear the name of this man born in Neuchatel Canton, Switzerland",Louis Chevrolet,2023-01-04
2,400,0,"History, Culture, Geography, Politics",THE NATIONAL PAST TIME,,"Before wacky wildlife made it famous, this archipelago belonging to Ecuador was largely a pirate hideout",the Galápagos,2023-01-04
2,800,0,"History, Culture, Geography, Politics",THE NATIONAL PAST TIME,,"This adjective precedes ""Free State"" in the name of a polity formed in the 1920s with Tim Healy as governor-general",Irish,2023-01-04
2,1200,4000,"History, Culture, Geography, Politics",THE NATIONAL PAST TIME,,"After World War I, Iraq was controlled by Great Britain as a mandate of this international organization",the League of Nations,2023-01-04
